,Neighborhood,Area Code,Geo Name,Borough,Total Population,Population Previous Census,Population Change,Area in km,Population Density,Green Space Area in km,Green Space to Total Area in km,Walk Score,Healthy Food Index,In Labor Force,Average Income,Low Income Population,Unemployed,Debt Risk Score,Home Prices,Affordability,High Shelter Costs,Owned Dwellings,Rented Dwellings,Own to Rent Ratio,Commute  15 or less,Commute  15 to 29,Commute  30 to 44,Commute  45 to 59,Commute  60 or more,Tenant Average Rent,Population Over 25,Bachelor or Higher,Associates or Diploma,Less than 9th Grade,Drug Arrests,Assaults,Sexual Assaults,Break and Enter,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Longitude,Latitude,Housing Affordability,Unemployment Rate,Reported Crimes
38,Elms-Old Rexdale,5,M9W,Etobicoke,9456,9550,-1.0,2.9,3260.689655172414,0.73,0.2517241379310345,48,24.71,4635,61196,2790,465,692,233832,,1080,1910,1315,1.4524714828897338,365,1325,965,540,845,966,6280,1130,3155,2025,9,53,2,9,14,16,0,0,0,-79.54898271649999,43.721518868400004,3.8210340545133668,10.032362459546926,103
39,Englemount-Lawrence,32,M6A,North York,22372,22080,1.3,3.6,6214.444444444444,0.21,0.05833333333333333,70,43.98,10760,86616,5360,955,730,577889,,3005,3445,4690,0.7345415778251599,1465,2065,2710,1550,1140,904,15030,5880,10080,2365,4,111,4,59,42,22,7,0,0,-79.43740855,43.7203446653,6.671850466426526,8.875464684014869,249
40,Eringate-Centennial-West Deane,11,M9C,Etobicoke,18588,18805,-1.2,8.6,2161.3953488372094,2.89,0.336046511627907,57,10.43,10105,88741,2130,750,775,423034,,1555,5840,1060,5.509433962264151,1405,2825,1865,1010,1540,1108,13725,4915,9240,2645,7,52,5,28,15,29,5,0,1,-79.5804452375,43.6580167554,4.7670637022345925,7.422068283028203,142
41,Etobicoke West Mall,13,M9C,Etobicoke,11848,10925,8.4,1.7,6969.411764705883,0.15,0.08823529411764706,74,15.41,6420,67704,2020,505,738,298426,,1695,2250,1790,1.2569832402234637,930,1560,1170,725,1170,1078,8905,2705,5325,1685,0,40,3,13,3,15,0,1,1,-79.5689387722,43.6450626244,4.4078045610303676,7.8660436137071645,76
42,Flemingdon Park,44,M3C,North York,21933,22165,-1.1,2.5,8773.2,0.76,0.304,63,21.66,9910,55824,7800,1050,721,204104,,3520,3755,4280,0.8773364485981309,1070,1880,2000,1615,1825,932,14580,4910,8880,3615,8,123,5,14,19,5,3,0,0,-79.3326459673,43.715929753999994,3.6562052163943823,10.595358224016145,177
43,Forest Hill North,102,M5N,Central Toronto,12806,12475,2.7,1.6,8003.75,0.11,0.06874999999999999,77,29.11,7520,137887,1770,560,749,957688,,1945,1850,3485,0.5308464849354376,740,1755,2255,910,625,1132,9405,5320,7545,995,2,22,2,18,5,6,2,0,1,-79.42814316479999,43.7042175596,6.945455336616215,7.446808510638298,58
44,Forest Hill South,101,M5P,Central Toronto,10732,10925,-1.8,2.5,4292.8,0.12,0.048,76,18.49,6105,251035,860,340,775,1585984,,1650,2635,2160,1.2199074074074074,655,1960,1395,440,370,1206,8130,5575,6990,720,12,9,2,28,1,9,5,0,0,-79.4143178642,43.694525756400004,6.3177803891887585,5.569205569205569,66
45,Glenfield-Jane Heights,25,M3N,North York,30491,31395,-2.9,5.2,5863.653846153846,0.81,0.15576923076923077,61,41.05,13440,56582,9610,1550,678,304262,,3285,4950,5055,0.9792284866468842,1250,3285,3040,1505,2475,818,20415,2110,7655,9295,55,247,24,28,59,63,11,1,5,-79.5134653159,43.745635749799995,5.377363825951716,11.532738095238097,493
46,Greenwood-Coxwell,65,M4L,East Toronto,14417,14075,2.4,1.7,8480.588235294117,0.09,0.052941176470588235,88,44.29,8245,76085,2920,595,738,490920,,1970,3715,2285,1.62582056892779,700,1855,2330,1100,900,829,10705,4590,7255,2565,14,74,11,62,10,14,7,0,1,-79.3243180234,43.6726123109,6.452257343760268,7.216494845360824,193
47,Guildwood,140,M1E,Scarborough,9917,9815,1.0,3.8,2609.7368421052633,0.7,0.18421052631578946,59,15.57,4975,92858,790,395,774,444309,,960,3095,860,3.5988372093023258,415,865,1095,675,1115,1081,7765,2715,5060,1050,4,36,8,17,8,4,1,0,0,-79.1950553496,43.7488293378,4.784821986258589,7.939698492462312,78
48,Henry Farm,53,M2J,North York,15723,11340,38.7,2.6,6047.307692307692,0.21,0.08076923076923076,76,20.8,8605,65901,4220,890,736,372110,,3085,1450,2650,0.5471698113207547,730,1795,1915,1240,1580,1156,10915,6370,9230,920,5,58,11,12,8,9,1,0,0,-79.3412406671,43.7711441425,5.646500053109968,10.342823939570017,104
49,High Park North,88,M6P,West Toronto,22162,21300,4.1,1.9,11664.21052631579,0.06,0.031578947368421054,84,40.24,13715,89737,2940,970,759,609689,,4045,3605,7000,0.515,770,2510,4560,2315,1185,1134,17710,10125,14210,1600,8,74,12,27,20,8,1,0,0,-79.4663021661,43.6575649139,6.79417631523229,7.072548304775792,150
50,High Park-Swansea,87,M6S,West Toronto,23925,21750,10.1,5.3,4514.1509433962265,1.83,0.34528301886792456,79,46.53,14525,116465,2290,865,770,622206,,3260,5975,3875,1.5419354838709678,1065,3025,4445,2275,1145,1053,18605,10665,14845,1540,20,85,11,32,20,11,5,0,3,-79.46787222430001,43.6450645834,5.342429055939553,5.9552495697074015,187
51,Highland Creek,134,M1C,Scarborough,12494,13100,-4.6,5.1,2449.8039215686276,0.19,0.03725490196078432,54,0.63,6655,98857,2120,565,751,529278,,900,3360,445,7.550561797752809,625,1460,1450,675,1510,909,9100,3055,6105,1295,6,50,12,34,7,8,1,0,0,-79.17747247289999,43.7907747688,5.3539759450519435,8.489857250187828,118
52,Hillcrest Village,48,M2H,North York,16934,17650,-4.1,5.3,3195.0943396226417,0.39,0.07358490566037737,68,48.46,7930,81484,4350,660,775,484743,,2260,5060,1485,3.4074074074074074,555,1780,1615,915,1565,678,12845,6445,9545,1985,3,34,12,33,9,20,1,0,2,-79.3548039999,43.8029878281,5.948934760198322,8.32282471626734,114
53,Humber Heights-Westmount,8,M9P,Etobicoke,10948,10580,3.4,2.8,3910.0000000000005,0.43,0.15357142857142858,58,32.82,5115,81267,1780,380,753,491396,,1325,2585,1350,1.9148148148148147,360,1405,1260,595,740,1041,8800,2340,4805,1620,3,25,0,24,8,17,4,1,2,-79.5224162029,43.6922328007,6.046685616547922,7.429130009775172,84
