Neighborhood,Athletics & Sports,Bank,Bar/Club,Cafe,Coffee Shop,Convenience Store,Entertainment,Event Hall,Fast Food,Gas Station,Grocery,Gym,Hotel,Liquor Store,Medical,Moving Target,Museum,Museum ,Office,Outdoor,Park,Professional Services,Residential,Restaurant,Retail,Salon,Transportation,University
Palmerston-Little Italy ,0,0,2,4,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0
Parkwoods-Donalda ,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pelmo Park-Humberlea ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Playter Estates-Danforth ,0,1,5,6,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,15,3,1,0,0
Pleasant View ,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0
Princess-Rosethorn ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Regent Park ,1,0,1,1,3,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,6,2,0,0,0
Rexdale-Kipling ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Rockcliffe-Smythe ,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0
Roncesvalles,0,0,0,4,4,1,0,0,1,0,3,0,0,0,2,0,0,0,0,0,2,0,0,7,2,0,0,0
Rosedale-Moore Park,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0
Rouge ,0,0,0,2,0,0,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Runnymede-Bloor West Village,1,0,1,3,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Scarborough Village,0,0,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
South Parkdale,1,1,2,3,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,1,0,0,11,4,0,0,0
South Riverdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0
Steeles ,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0
Stonegate-Queensway,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tam O'Shanter-Sullivan ,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,1,0
Taylor-Massey,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
