,Neighborhood,Athletics & Sports,Bank,Bar/Club,Cafe,Coffee Shop,Convenience Store,Entertainment,Event Hall,Fast Food,Gas Station,Grocery,Gym,Hotel,Liquor Store,Medical,Moving Target,Museum,Museum ,Office,Outdoor,Park,Professional Services,Residential,Restaurant,Retail,Salon,Transportation,University
86,Newtonbrook East ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,Niagara ,2,0,3,2,1,0,3,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,3,2,0,0,0
88,North Riverdale ,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
89,North St.James Town ,0,1,1,0,8,0,0,0,4,0,5,0,2,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0
90,O'Connor-Parkview ,1,1,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
91,Oakridge ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
92,Oakwood Village ,0,0,0,2,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
93,Old East York ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
94,Palmerston-Little Italy ,0,0,2,4,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0
95,Parkwoods-Donalda ,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,Pelmo Park-Humberlea ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
97,Playter Estates-Danforth ,0,1,5,6,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,15,3,1,0,0
98,Pleasant View ,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0
99,Princess-Rosethorn ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
100,Regent Park ,1,0,1,1,3,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,6,2,0,0,0
101,Rexdale-Kipling ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
102,Rockcliffe-Smythe ,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0
103,Roncesvalles,0,0,0,4,4,1,0,0,1,0,3,0,0,0,2,0,0,0,0,0,2,0,0,7,2,0,0,0
104,Rosedale-Moore Park,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0
105,Rouge ,0,0,0,2,0,0,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
106,Runnymede-Bloor West Village,1,0,1,3,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
107,Scarborough Village,0,0,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
108,South Parkdale,1,1,2,3,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,1,0,0,11,4,0,0,0
109,South Riverdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0
110,Steeles ,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0
111,Stonegate-Queensway,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Tam O'Shanter-Sullivan ,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,1,0
113,Taylor-Massey,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,The Beaches,1,1,5,4,5,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,2,0,0,9,5,1,0,0
115,Thistletown-Beaumond Heights,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0
116,Thorncliffe Park,0,1,0,0,1,0,0,0,3,0,2,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0
117,Trinity-Bellwoods,1,0,7,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,1,0,0,0
118,University ,0,0,4,8,2,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,2,0,0,1
119,Victoria Village,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0
120,Waterfront Communities-The Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
121,West Hill,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
122,West Humber-Clairville,0,1,0,0,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
123,Westminster-Branson,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
124,Weston,0,0,0,0,2,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0
125,Weston-Pellam Park,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0
126,Wexford/Maryvale ,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
127,Willowdale East ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Willowdale West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
129,Woburn ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
130,Woodbine Corridor,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,Woodbine-Lumsden,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0
132,Wychwood,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,Yonge-Eglinton,2,1,0,2,4,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,1,0,0,5,3,0,1,0
134,Yonge-St.Clair,0,1,3,5,7,0,0,0,5,0,3,2,0,0,2,0,0,0,0,0,0,0,0,15,1,0,0,0
135,York University Heights,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
136,Yorkdale-Glen Park ,2,1,0,1,1,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0
